Vernier Format 2
mb50_ff_1.cmbl 04/03/2021 12:56:45 .
Latest
Time	Force
t	Force
s	N

98.06	-1.37329101563
98.062	-1.37329101563
98.064	-1.37329101563
98.066	-1.37329101563
98.068	-1.37329101563
98.07	-1.37329101563
98.072	-0.152587890625
98.074	-1.37329101563
98.076	-1.37329101563
98.078	-1.37329101563
98.08	-1.37329101563
98.082	-1.37329101563
98.084	-1.37329101563
98.086	-0.152587890625
98.088	-0.152587890625
98.09	-1.37329101563
98.092	-0.152587890625
98.094	-1.37329101563
98.096	-1.37329101563
98.098	-1.37329101563
98.1	-1.37329101563
98.102	-1.37329101563
98.104	-1.37329101563
98.106	-1.37329101563
98.108	-1.37329101563
98.11	-1.37329101563
98.112	-1.37329101563
98.114	-1.37329101563
98.116	-1.37329101563
98.118	-1.37329101563
98.12	-1.37329101563
98.122	-1.37329101563
98.124	-1.37329101563
98.126	-1.37329101563
98.128	-1.37329101563
98.13	-1.37329101563
98.132	-1.37329101563
98.134	-1.37329101563
98.136	-0.152587890625
98.138	-1.37329101563
98.14	-1.37329101563
98.142	-1.37329101563
98.144	-1.37329101563
98.146	-1.37329101563
98.148	-1.37329101563
98.15	-1.37329101563
98.152	-1.37329101563
98.154	-1.37329101563
98.156	-1.37329101563
98.158	-1.37329101563
98.16	-1.37329101563
98.162	-1.37329101563
98.164	-1.37329101563
98.166	-1.37329101563
98.168	-1.37329101563
98.17	-1.37329101563
98.172	-1.37329101563
98.174	-1.37329101563
98.176	-1.37329101563
98.178	-1.37329101563
98.18	-1.37329101563
98.182	-1.37329101563
98.184	-1.37329101563
98.186	-0.152587890625
98.188	-1.37329101563
98.19	-1.37329101563
98.192	-1.37329101563
98.194	-1.37329101563
98.196	-1.37329101563
98.198	-1.37329101563
98.2	-1.37329101563
98.202	-1.37329101563
98.204	-1.37329101563
98.206	-1.37329101563
98.208	-1.37329101563
98.21	-1.37329101563
98.212	-1.37329101563
98.214	-1.37329101563
98.216	-1.37329101563
98.218	-1.37329101563
98.22	-1.37329101563
98.222	-1.37329101563
98.224	-1.37329101563
98.226	-1.37329101563
98.228	-1.37329101563
98.23	-1.37329101563
98.232	-1.37329101563
98.234	-1.37329101563
98.236	-1.37329101563
98.238	-1.37329101563
98.24	-1.37329101563
98.242	-1.37329101563
98.244	-1.37329101563
98.246	-1.37329101563
98.248	-1.37329101563
98.25	-1.37329101563
98.252	-1.37329101563
98.254	-1.37329101563
98.256	-1.37329101563
98.258	-1.37329101563
98.26	-1.37329101563
98.262	-1.37329101563
98.264	-1.37329101563
98.266	-1.37329101563
98.268	-1.37329101563
98.27	-1.37329101563
98.272	-1.37329101563
98.274	-1.37329101563
98.276	-1.37329101563
98.278	-1.37329101563
98.28	-1.37329101563
98.282	-1.37329101563
98.284	-1.37329101563
98.286	-1.37329101563
98.288	-1.37329101563
98.29	-1.37329101563
98.292	-1.37329101563
98.294	-1.37329101563
98.296	-1.37329101563
98.298	-1.37329101563
98.3	-1.37329101563
98.302	-1.37329101563
98.304	-1.37329101563
98.306	-1.37329101563
98.308	-1.37329101563
98.31	-1.37329101563
98.312	-1.37329101563
98.314	-1.37329101563
98.316	-1.37329101563
98.318	-1.37329101563
98.32	-1.37329101563
98.322	-1.37329101563
98.324	-1.37329101563
98.326	-1.37329101563
98.328	-1.37329101563
98.33	-1.37329101563
98.332	-1.37329101563
98.334	-1.37329101563
98.336	-1.37329101563
98.338	-1.37329101563
98.34	-1.37329101563
98.342	-1.37329101563
98.344	-1.37329101563
98.346	-1.37329101563
98.348	-1.37329101563
98.35	-1.37329101563
98.352	-1.37329101563
98.354	-1.37329101563
98.356	-1.37329101563
98.358	-1.37329101563
98.36	-1.37329101563
98.362	-1.37329101563
98.364	-1.37329101563
98.366	-1.37329101563
98.368	-1.37329101563
98.37	-1.37329101563
98.372	-1.37329101563
98.374	-1.37329101563
98.376	-1.37329101563
98.378	-1.37329101563
98.38	-1.37329101563
98.382	-1.37329101563
98.384	-1.37329101563
98.386	-1.37329101563
98.388	-1.37329101563
98.39	-1.37329101563
98.392	-1.37329101563
98.394	-1.37329101563
98.396	-1.37329101563
98.398	-1.37329101563
98.4	-1.37329101563
98.402	-1.37329101563
98.404	-1.37329101563
98.406	-1.37329101563
98.408	-1.37329101563
98.41	-1.37329101563
98.412	-1.37329101563
98.414	-1.37329101563
98.416	-1.37329101563
98.418	-1.37329101563
98.42	-1.37329101563
98.422	-1.37329101563
98.424	-1.37329101563
98.426	-1.37329101563
98.428	-1.37329101563
98.43	-1.37329101563
98.432	-1.37329101563
98.434	-1.37329101563
98.436	-1.37329101563
98.438	-1.37329101563
98.44	-1.37329101563
98.442	-1.37329101563
98.444	-1.37329101563
98.446	-1.37329101563
98.448	-1.37329101563
98.45	-1.37329101563
98.452	-1.37329101563
98.454	-1.37329101563
98.456	-1.37329101563
98.458	-1.37329101563
98.46	-1.37329101563
98.462	-1.37329101563
98.464	-1.37329101563
98.466	-1.37329101563
98.468	-1.37329101563
98.47	-1.37329101563
98.472	-1.37329101563
98.474	-1.37329101563
98.476	-1.37329101563
98.478	-1.37329101563
98.48	-1.37329101563
98.482	-1.37329101563
98.484	-1.37329101563
98.486	-1.37329101563
98.488	-1.37329101563
98.49	-1.37329101563
98.492	-1.37329101563
98.494	-1.37329101563
98.496	-1.37329101563
98.498	-1.37329101563
98.5	-1.37329101563
98.502	-1.37329101563
98.504	-1.37329101563
98.506	-1.37329101563
98.508	-1.37329101563
98.51	-1.37329101563
98.512	-1.37329101563
98.514	-1.37329101563
98.516	-1.37329101563
98.518	-1.37329101563
98.52	-1.37329101563
98.522	-1.37329101563
98.524	-1.37329101563
98.526	-1.37329101563
98.528	-1.37329101563
98.53	-1.37329101563
98.532	-1.37329101563
98.534	-1.37329101563
98.536	-1.37329101563
98.538	-1.37329101563
98.54	-1.37329101563
98.542	-1.37329101563
98.544	-1.37329101563
98.546	-1.37329101563
98.548	-1.37329101563
98.55	-1.37329101563
98.552	-1.37329101563
98.554	-1.37329101563
98.556	-1.37329101563
98.558	-1.37329101563
98.56	-1.37329101563
98.562	-1.37329101563
98.564	-1.37329101563
98.566	-1.37329101563
98.568	-1.37329101563
98.57	-1.37329101563
98.572	-1.37329101563
98.574	-1.37329101563
98.576	-1.37329101563
98.578	-1.37329101563
98.58	-1.37329101563
98.582	-1.37329101563
98.584	-1.37329101563
98.586	-1.37329101563
98.588	-1.37329101563
98.59	-1.37329101563
98.592	-1.37329101563
98.594	-1.37329101563
98.596	-1.37329101563
98.598	-1.37329101563
98.6	-1.37329101563
98.602	-1.37329101563
98.604	-1.37329101563
98.606	-0.152587890625
98.608	-0.152587890625
98.61	-0.152587890625
98.612	-1.37329101563
98.614	-1.37329101563
98.616	-1.37329101563
98.618	-1.37329101563
98.62	-1.37329101563
98.622	-1.37329101563
98.624	-1.37329101563
98.626	-1.37329101563
98.628	-0.152587890625
98.63	-0.152587890625
98.632	-0.152587890625
98.634	-1.37329101563
98.636	-1.37329101563
98.638	-1.37329101563
98.64	-1.37329101563
98.642	-1.37329101563
98.644	-1.37329101563
98.646	-1.37329101563
98.648	-1.37329101563
98.65	-0.152587890625
98.652	-1.37329101563
98.654	-1.37329101563
98.656	-1.37329101563
98.658	-1.37329101563
98.66	-1.37329101563
98.662	-1.37329101563
98.664	-1.37329101563
98.666	-1.37329101563
98.668	-1.37329101563
98.67	-0.152587890625
